Datum,Pretok [m3/s]
01.01.2002,52.06 
02.01.2002,46.00 
03.01.2002,47.47 
04.01.2002,48.98 
05.01.2002,47.47 
06.01.2002,44.54 
07.01.2002,44.54 
08.01.2002,44.54 
09.01.2002,44.54 
10.01.2002,43.12 
11.01.2002,43.12 
12.01.2002,44.54 
13.01.2002,44.54 
14.01.2002,44.54 
15.01.2002,44.54 
16.01.2002,47.47 
17.01.2002,47.47 
18.01.2002,46.00 
19.01.2002,44.54 
20.01.2002,43.12 
21.01.2002,46.00 
22.01.2002,52.06 
23.01.2002,55.25 
24.01.2002,52.06 
25.01.2002,50.50 
26.01.2002,52.06 
27.01.2002,50.50 
28.01.2002,52.06 
29.01.2002,84.84 
30.01.2002,74.40 
31.01.2002,70.26 
01.02.2002,68.19 
02.02.2002,64.09 
03.02.2002,62.04 
04.02.2002,62.04 
05.02.2002,64.09 
06.02.2002,66.14 
07.02.2002,64.09 
08.02.2002,68.19 
09.02.2002,66.14 
10.02.2002,64.09 
11.02.2002,64.09 
12.02.2002,64.09 
13.02.2002,66.14 
14.02.2002,80.64 
15.02.2002,80.64 
16.02.2002,74.40 
17.02.2002,68.19 
18.02.2002,82.74 
19.02.2002,84.84 
20.02.2002,72.32 
21.02.2002,68.19 
22.02.2002,64.09 
23.02.2002,62.04 
24.02.2002,60.01 
25.02.2002,60.01 
26.02.2002,60.01 
27.02.2002,60.01 
28.02.2002,60.01 
01.03.2002,70.26 
02.03.2002,72.32 
03.03.2002,68.19 
04.03.2002,72.32 
05.03.2002,68.19 
06.03.2002,66.14 
07.03.2002,66.14 
08.03.2002,72.32 
09.03.2002,74.40 
10.03.2002,70.26 
11.03.2002,68.19 
12.03.2002,68.19 
13.03.2002,66.14 
14.03.2002,66.14 
15.03.2002,66.14 
16.03.2002,68.19 
17.03.2002,70.26 
18.03.2002,70.26 
19.03.2002,72.32 
20.03.2002,76.47 
21.03.2002,165.58
22.03.2002,287.53
23.03.2002,229.06
24.03.2002,173.34
25.03.2002,148.67
26.03.2002,130.99
27.03.2002,115.72
28.03.2002,109.24
29.03.2002,102.80
30.03.2002,96.40
31.03.2002,102.80
01.04.2002,104.94
02.04.2002,107.09
03.04.2002,113.55
04.04.2002,117.89
05.04.2002,113.55
06.04.2002,107.09
07.04.2002,100.66
08.04.2002,94.28
09.04.2002,94.28
10.04.2002,92.16
11.04.2002,90.05
12.04.2002,92.16
13.04.2002,102.80
14.04.2002,104.94
15.04.2002,107.09
16.04.2002,111.39
17.04.2002,104.94
18.04.2002,104.94
19.04.2002,113.55
20.04.2002,126.60
21.04.2002,162.08
22.04.2002,137.59
23.04.2002,135.39
24.04.2002,133.18
25.04.2002,153.13
26.04.2002,142.01
27.04.2002,150.90
28.04.2002,171.09
29.04.2002,148.67
30.04.2002,142.01
01.05.2002,142.01
02.05.2002,144.23
03.05.2002,164.33
04.05.2002,196.08
05.05.2002,233.49
06.05.2002,228.06
07.05.2002,190.51
08.05.2002,172.34
09.05.2002,167.83
10.05.2002,170.09
11.05.2002,172.34
12.05.2002,170.09
13.05.2002,179.14
14.05.2002,176.87
15.05.2002,170.09
16.05.2002,165.58
17.05.2002,156.60
18.05.2002,165.58
19.05.2002,161.08
20.05.2002,179.14
21.05.2002,181.41
22.05.2002,167.83
23.05.2002,154.36
24.05.2002,145.45
25.05.2002,141.01
26.05.2002,158.84
27.05.2002,181.41
28.05.2002,176.87
29.05.2002,179.14
30.05.2002,154.36
31.05.2002,141.01
01.06.2002,129.99
02.06.2002,125.61
03.06.2002,116.89
04.06.2002,119.06
05.06.2002,116.89
06.06.2002,119.06
07.06.2002,174.61
08.06.2002,252.74
09.06.2002,211.14
10.06.2002,204.24
11.06.2002,192.79
12.06.2002,172.34
13.06.2002,158.84
14.06.2002,149.90
15.06.2002,141.01
16.06.2002,156.60
17.06.2002,145.45
18.06.2002,134.39
19.06.2002,125.61
20.06.2002,119.06
21.06.2002,112.56
22.06.2002,110.40
23.06.2002,106.09
24.06.2002,119.06
25.06.2002,127.79
26.06.2002,119.06
27.06.2002,108.24
28.06.2002,110.40
29.06.2002,136.59
30.06.2002,123.42
01.07.2002,112.56
02.07.2002,108.24
03.07.2002,101.80
04.07.2002,108.24
05.07.2002,138.80
06.07.2002,116.89
07.07.2002,116.89
08.07.2002,112.56
09.07.2002,106.09
10.07.2002,101.80
11.07.2002,97.53
12.07.2002,97.53
13.07.2002,95.40
14.07.2002,95.40
15.07.2002,119.06 
16.07.2002,179.14 
17.07.2002,273.46 
18.07.2002,225.85 
19.07.2002,195.08 
20.07.2002,167.83 
21.07.2002,147.67 
22.07.2002,149.90 
23.07.2002,145.45 
24.07.2002,129.99 
25.07.2002,127.79 
26.07.2002,119.06 
27.07.2002,114.72 
28.07.2002,110.40 
29.07.2002,106.09 
30.07.2002,110.40 
31.07.2002,106.09 
01.08.2002,116.89 
02.08.2002,116.89 
03.08.2002,103.94 
04.08.2002,108.24 
05.08.2002,125.61 
06.08.2002,134.39 
07.08.2002,172.34 
08.08.2002,179.14 
09.08.2002,174.61 
10.08.2002,158.84 
11.08.2002,174.61 
12.08.2002,483.71 
13.08.2002,788.52 
14.08.2002,569.91 
15.08.2002,366.20 
16.08.2002,322.07 
17.08.2002,286.98 
18.08.2002,245.89 
19.08.2002,231.79 
20.08.2002,192.95 
21.08.2002,190.72 
22.08.2002,220.19 
23.08.2002,241.17 
24.08.2002,197.43 
25.08.2002,177.45 
26.08.2002,170.89 
27.08.2002,181.85 
28.08.2002,192.95 
29.08.2002,175.25 
30.08.2002,167.13 
31.08.2002,162.54 
01.09.2002,155.65 
02.09.2002,153.37 
03.09.2002,155.65 
04.09.2002,151.08 
05.09.2002,148.79 
06.09.2002,141.95 
07.09.2002,144.23 
08.09.2002,137.41 
09.09.2002,126.09 
10.09.2002,121.58 
11.09.2002,123.83 
12.09.2002,130.60 
13.09.2002,123.83 
14.09.2002,117.08 
15.09.2002,117.08 
16.09.2002,119.33 
17.09.2002,119.33 
18.09.2002,114.84 
19.09.2002,108.13 
20.09.2002,112.60 
21.09.2002,112.60 
22.09.2002,117.08 
23.09.2002,119.33 
24.09.2002,177.45 
25.09.2002,208.74 
26.09.2002,184.06 
27.09.2002,155.65 
28.09.2002,146.51 
29.09.2002,137.41 
30.09.2002,135.14 
01.10.2002,123.83 
02.10.2002,121.58 
03.10.2002,119.33 
04.10.2002,117.08 
05.10.2002,114.84 
06.10.2002,112.60 
07.10.2002,114.84 
08.10.2002,112.60 
09.10.2002,110.36 
10.10.2002,110.36 
11.10.2002,112.60 
12.10.2002,173.07 
13.10.2002,201.94 
14.10.2002,160.24 
15.10.2002,141.95 
16.10.2002,132.87 
17.10.2002,128.34 
18.10.2002,217.89 
19.10.2002,236.46 
20.10.2002,184.06 
21.10.2002,167.13 
22.10.2002,160.24 
23.10.2002,162.54 
24.10.2002,160.24 
25.10.2002,157.95 
26.10.2002,148.79 
27.10.2002,141.95 
28.10.2002,135.14 
29.10.2002,135.14 
30.10.2002,128.34 
31.10.2002,126.09 
01.11.2002,135.14 
02.11.2002,130.60 
03.11.2002,128.34 
04.11.2002,135.14 
05.11.2002,139.68 
06.11.2002,132.87 
07.11.2002,123.83 
08.11.2002,119.33 
09.11.2002,117.08 
10.11.2002,112.60 
11.11.2002,110.36 
12.11.2002,117.08 
13.11.2002,119.33 
14.11.2002,112.60 
15.11.2002,112.60 
16.11.2002,117.08 
17.11.2002,114.84 
18.11.2002,132.87 
19.11.2002,144.23 
20.11.2002,167.13 
21.11.2002,151.08 
22.11.2002,139.68 
23.11.2002,169.44 
24.11.2002,155.65 
25.11.2002,141.95 
26.11.2002,148.79 
27.11.2002,169.44 
28.11.2002,173.07 
29.11.2002,167.13 
30.11.2002,173.07 
01.12.2002,169.44 
02.12.2002,155.65 
03.12.2002,170.89 
04.12.2002,197.43 
05.12.2002,368.85 
06.12.2002,672.45 
07.12.2002,617.73 
08.12.2002,389.50 
09.12.2002,285.44 
10.12.2002,238.19 
11.12.2002,206.49 
12.12.2002,193.25 
13.12.2002,185.13 
14.12.2002,175.95 
15.12.2002,162.23 
16.12.2002,153.14 
17.12.2002,153.14 
18.12.2002,148.60 
19.12.2002,141.83 
20.12.2002,135.08 
21.12.2002,123.90 
22.12.2002,121.67 
23.12.2002,128.36 
24.12.2002,153.14 
25.12.2002,135.08 
26.12.2002,123.90 
27.12.2002,123.90 
28.12.2002,121.67 
29.12.2002,121.67 
30.12.2002,123.90 
31.12.2002,144.09 
